data,integrante,demanda_realizada,entrega_ou_evidencia,carga_de_trabalho,complexidade,status
2026-09-21,Codex (agente),Merge da master na main preservando os arquivos da main e removendo data/,Commit de merge e verificacao de bases/ e pytest,baixa,baixa,Concluido
2026-09-22,Codex (agente),Atualizar ficha e EDA da base 5 para grupo5_new.csv,trabalho/bases/grupo5/base_grupo5.md e eda_preparacao_base_5_ouro.ipynb; tests/unit/test_grupo5_preparacao.py,media,media,Concluido
2026-09-22,Codex (agente),Criar documentacao e dicionario de externas da Base 5 no formato da Base 4,trabalho/bases/grupo5/documentacao_base5.md e dicionario_variaveis_externas_base5.md,baixa,baixa,Concluido
2026-09-24,Codex (agente),Revisar limpeza e preparação das cinco bases à luz dos dicionários e das regras temporais,docs/revisoes/revisao_limpeza_preparacao_bases.md; scripts/revisar_bases.py; src/series_temporais/data/auditoria_bases.py; tests/unit/test_auditoria_bases.py,alta,alta,Concluido; pytest global bloqueado por statsmodels ausente no ambiente
2026-09-24,Codex (agente),Revisar e padronizar gráficos exploratórios das cinco bases,docs/revisoes/revisao_graficos_exploratorios.md; scripts/revisar_graficos_exploratorios.py; scripts/gerar_graficos_exploratorios.py; src/series_temporais/reporting/graficos_exploratorios.py; tests/unit/test_graficos_exploratorios.py,media,media,Concluido; geração local requer dependências de visualização instaladas
2026-09-26,Auto (agente),Implementar feature engineering disponibilidade temporal e prevenção de leakage e revisar a padronização gráfica,src/series_temporais/features/temporal.py; src/series_temporais/validation/temporal_split.py; src/series_temporais/data/preparacao_base5.py; tests/unit/test_features_temporais.py; docs/revisoes/revisao_feature_engineering_leakage.md,alta,alta,Concluido; pytest global aprovado com MPLBACKEND=Agg e revisão independente sem bloqueadores de leakage
2026-09-26,Auto (agente),Criar um notebook de feature engineering por base com catálogo e checagem de leakage,trabalho/bases/grupoN/feature_engineering_baseN.ipynb e catalogo_features_baseN.csv,media,baixa,Concluido
2026-09-26,Auto (agente),Auditoria independente de feature engineering disponibilidade leakage e padronização gráfica,docs/revisoes/auditoria_features_leakage_e_graficos.md; pytest 17 testes OK; gráficos Bases 1-4 ainda parciais,media,media,Concluido
2026-09-26,Auto (agente),Melhorar disponibilidade temporal e leakage por grupo com regras versionadas,src/series_temporais/features/regras_bases.py; disponibilidade_covariaveis_baseN.csv; notebooks FE/RF; is_holiday Base 2,alta,media,Concluido

